Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Nationals' Erick Fedde facing 1-2-3
t1,0-0,0,---,2(1-0) BX,,ATL,Ronald Acuna Jr.,Erick Fedde,7%,57%,Double to LF (Line Drive to Deep LF Line)
t1,0-0,0,-2-,1(0-0) X,O,ATL,Ozzie Albies,Erick Fedde,-2%,55%,Flyball: CF (Deep CF); Acuna to 3B
t1,0-0,1,--3,(3-0) VVVV,,ATL,Freddie Freeman,Erick Fedde,2%,58%,Intentional Walk
t1,0-0,1,1-3,4(2-1) BBC>C,,ATL,Marcell Ozuna,Erick Fedde,2%,60%,Freeman Steals 2B
t1,0-0,1,-23,7(3-2) BBC>C.BFB,,ATL,Marcell Ozuna,Erick Fedde,1%,61%,Walk
t1,0-0,1,123,1(0-0) X,O,ATL,Travis d'Arnaud,Erick Fedde,-8%,53%,Lineout: RF (CF-RF)
t1,0-0,2,123,1(0-0) S,R,ATL,Dansby Swanson,Erick Fedde,10%,63%,Passed Ball; Acuna Scores/No RBI/unER; Freeman to 3B; Ozuna to 2B
t1,1-0,2,-23,5(2-2) S.FBBS,O,ATL,Dansby Swanson,Erick Fedde,-6%,57%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 2 LOB. Braves 1 Nationals 0.,1 run 1 hit 0 errors 2 LOB. Braves 1 Nationals 0.,1 run 1 hit 0 errors 2 LOB. Braves 1 Nationals 0.
Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3,Bottom of the 1st Nationals Batting Behind 0-1 Braves' Max Fried facing 1-2-3
b1,0-1,0,---,3(2-0) BBX,,WSN,Victor Robles,Max Fried,-4%,52%,Single to LF (Ground Ball thru SS-3B Hole)
b1,0-1,0,1--,2(1-0) B1X,RR,WSN,Trea Turner,Max Fried,-20%,33%,Home Run (Line Drive to Deep LF Line); Robles Scores
b1,2-1,0,---,6(3-2) BBCCBB,,WSN,Juan Soto,Max Fried,-3%,30%,Walk
b1,2-1,0,1--,3(2-0) BBX,,WSN,Ryan Zimmerman,Max Fried,-9%,20%,Double to 1B (Pop Fly to Deep 1B); Soto to 3B
b1,2-1,0,-23,2(0-1) SX,R,WSN,Starlin Castro,Max Fried,-6%,14%,Single to CF (Fly Ball to Short CF); Soto Scores; Zimmerman to 3B
b1,3-1,0,1-3,5(1-2) CLF*BS,O,WSN,Hernan Perez,Max Fried,4%,18%,Strikeout Swinging
b1,3-1,1,1-3,2(0-1) CX,RO,WSN,Andrew Stevenson,Max Fried,-2%,17%,Lineout: LF/Sacrifice Fly; Zimmerman Scores
b1,4-1,2,1--,3(0-2) CCX,,WSN,Jonathan Lucroy,Max Fried,-1%,16%,Single to RF (Ground Ball thru 2B-1B); Castro to 2B
b1,4-1,2,12-,6(3-2) BBBCC>S,O,WSN,Erick Fedde,Max Fried,2%,18%,Strikeout Swinging
,,,,,,,,,4 runs 5 hits 0 errors 2 LOB. Braves 1 Nationals 4.,4 runs 5 hits 0 errors 2 LOB. Braves 1 Nationals 4.,4 runs 5 hits 0 errors 2 LOB. Braves 1 Nationals 4.
Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9,Top of the 2nd Braves Batting Behind 1-4 Nationals' Erick Fedde facing 7-8-9
t2,1-4,0,---,6(3-2) CBBFBX,,ATL,Austin Riley,Erick Fedde,4%,22%,Single to CF (Line Drive)
t2,1-4,0,1--,5(3-1) BBCBX,,ATL,Ender Inciarte,Erick Fedde,11%,32%,Double to CF (Fly Ball to Deep LF-CF); Riley to 3B
t2,1-4,0,-23,5(2-2) BFBFX,R,ATL,Max Fried,Erick Fedde,5%,38%,Single to SS (Ground Ball to Weak SS-2B); Riley Scores
t2,2-4,0,12-,1(0-0) X,R,ATL,Ronald Acuna Jr.,Erick Fedde,16%,54%,Single to CF (Ground Ball); Inciarte Scores; Fried to 3B
t2,3-4,0,1-3,2(0-1) 11F>B,,ATL,Ozzie Albies,Erick Fedde,2%,56%,Acuna Steals 2B
t2,3-4,0,-23,8(2-2) 11F>B.FBFFFX,RO,ATL,Ozzie Albies,Erick Fedde,0%,56%,Groundout: SS-1B; Fried Scores; Acuna to 3B
t2,4-4,1,--3,(3-0) VVVV,,ATL,Freddie Freeman,Erick Fedde,2%,58%,Intentional Walk
t2,4-4,1,1-3,1(0-0) X,O,ATL,Marcell Ozuna,Erick Fedde,-8%,50%,Flyball: RF (Short RF)
t2,4-4,2,1-3,3(1-1) 11FB1X,RR,ATL,Travis d'Arnaud,Erick Fedde,22%,72%,Double to LF (Line Drive to Deep LF-CF); Acuna Scores; Freeman Scores
,,,,,,,,,Kyle McGowin replaces Erick Fedde pitching and batting 9th,Kyle McGowin replaces Erick Fedde pitching and batting 9th,Kyle McGowin replaces Erick Fedde pitching and batting 9th
t2,6-4,2,-2-,2(0-1) .FX,O,ATL,Dansby Swanson,Kyle McGowin,-3%,70%,Groundout: 3B-1B
,,,,,,,,,5 runs 5 hits 0 errors 1 LOB. Braves 6 Nationals 4.,5 runs 5 hits 0 errors 1 LOB. Braves 6 Nationals 4.,5 runs 5 hits 0 errors 1 LOB. Braves 6 Nationals 4.
Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3,Bottom of the 2nd Nationals Batting Behind 4-6 Braves' Max Fried facing 1-2-3
b2,4-6,0,---,4(1-2) CFBC,O,WSN,Victor Robles,Max Fried,3%,73%,Strikeout Looking
b2,4-6,1,---,6(2-2) CFBFBX,,WSN,Trea Turner,Max Fried,-5%,68%,Double to CF (Line Drive to Deep LF-CF)
b2,4-6,1,-2-,2(1-0) *BX,O,WSN,Juan Soto,Max Fried,5%,73%,Fielder's Choice ; Turner out at 3B/P-3B; Soto to 1B
b2,4-6,2,1--,2(1-0) BX,,WSN,Ryan Zimmerman,Max Fried,-3%,70%,Single to CF (Line Drive to Deep LF-CF); Soto to 3B
b2,4-6,2,1-3,1(0-0) X,R,WSN,Starlin Castro,Max Fried,-12%,58%,Single to CF (Line Drive to CF-RF); Soto Scores; Zimmerman to 3B
b2,5-6,2,1-3,2(1-0) BX,O,WSN,Hernan Perez,Max Fried,7%,64%,Groundout: P-1B (Weak SS-2B)
,,,,,,,,,1 run 3 hits 0 errors 2 LOB. Braves 6 Nationals 5.,1 run 3 hits 0 errors 2 LOB. Braves 6 Nationals 5.,1 run 3 hits 0 errors 2 LOB. Braves 6 Nationals 5.
Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9,Top of the 3rd Braves Batting Ahead 6-5 Nationals' Kyle McGowin facing 7-8-9
t3,6-5,0,---,4(2-1) BCBX,O,ATL,Austin Riley,Kyle McGowin,-2%,62%,Groundout: SS-1B (SS-3B Hole)
t3,6-5,1,---,5(2-2) BFBFX,O,ATL,Ender Inciarte,Kyle McGowin,-2%,60%,Groundout: 1B unassisted
,,,,,,,,,Johan Camargo pinch hits for Max Fried (P) batting 9th,Johan Camargo pinch hits for Max Fried (P) batting 9th,Johan Camargo pinch hits for Max Fried (P) batting 9th
t3,6-5,2,---,4(1-2) .CBT*S,O,ATL,Johan Camargo,Kyle McGowin,-1%,59%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9,Bottom of the 3rd Nationals Batting Behind 5-6 Braves' Josh Tomlin facing 7-8-9
,,,,,,,,,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th,Josh Tomlin replaces Johan Camargo (PH) pitching and batting 9th
b3,5-6,0,---,5(0-2) .CTFFT,O,WSN,Andrew Stevenson,Josh Tomlin,3%,63%,Strikeout Swinging
b3,5-6,1,---,7(3-2) CBBBCFX,O,WSN,Jonathan Lucroy,Josh Tomlin,2%,65%,Groundout: 3B-1B
,,,,,,,,,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th
b3,5-6,2,---,6(3-2) .CBBFBX,O,WSN,Cody Wilson,Josh Tomlin,2%,67%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3
,,,,,,,,,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th
t4,6-5,0,---,1(0-0) .X,,ATL,Ronald Acuna Jr.,Sam Clay,4%,70%,Single to RF (Line Drive)
t4,6-5,0,1--,2(1-0) BX,O,ATL,Ozzie Albies,Sam Clay,-2%,69%,Groundout: P-1B (Weak SS-2B); Acuna to 2B
t4,6-5,1,-2-,6(3-2) BBBCCC,O,ATL,Freddie Freeman,Sam Clay,-4%,65%,Strikeout Looking
